temperature_f,day,cones_sold
63,Mon,214
86,Tue,391
62,Wed,264
63,Thu,251
79,Fri,274
99,Sat,569
89,Sun,414
64,Mon,244
81,Tue,305
94,Wed,389
81,Thu,378
99,Fri,479
78,Sat,392
70,Sun,362
78,Mon,373
89,Tue,447
96,Wed,442
67,Thu,267
62,Fri,266
60,Sat,216
97,Sun,549
56,Mon,203
58,Tue,170
63,Wed,174
91,Thu,448
90,Fri,492
68,Sat,241
69,Sun,274
76,Mon,318
93,Tue,374
55,Wed,120
63,Thu,317
89,Fri,411
97,Sat,560
56,Sun,233
70,Mon,287
92,Tue,424
58,Wed,186
63,Thu,201
59,Fri,123
85,Sat,404
92,Sun,508
61,Mon,160
94,Tue,460
57,Wed,143
97,Thu,389
88,Fri,385
56,Sat,262
