age,weekly_spend
40,17.03
14,11.07
15,24.64
19,37.74
36,18.51
28,16.77
17,40.59
35,19.93
16,39.9
17,37.37
14,14.09
15,36.24
14,10.07
14,47.18
38,23.29
15,43.81
36,31.16
15,34.98
11,15.89
14,13.68
14,8.82
13,12.28
18,31.25
13,11.04
13,12.37
13,9.95
18,24.04
17,38.26
12,12.95
32,21.34
14,33.47
45,23.89
31,25.5
17,29.15
19,32.19
26,26.72
28,22.08
13,10.86
15,37.09
17,41.19
14,13.6
13,12.19
17,50.92
32,21.23
37,22.93
15,33.21
15,11.14
15,37.5
32,24.53
17,25.24
13,10.28
15,48.93
28,25.98
16,50.54
18,45.11
14,9.47
27,18.43
13,13.16
17,41.04
33,29.71
35,26.61
13,10.54
14,44.07
44,30.05
14,8.8
11,8.64
14,16.72
12,4.04
13,8.3
32,17.65
17,38.5
12,10.57
40,21.78
14,16.65
13,16.21
17,33.22
33,19.56
14,12.22
39,31.0
38,23.69
26,23.09
33,26.6
13,12.35
11,8.44
41,18.62
32,22.77
28,22.71
17,39.06
37,22.69
16,42.05
